pound,description
1890,estimated total eventual cost of Iraq War
38,Iraq War predicted cost 2003
473,OPEC Revenue
2,Opec climate change fund
22,UK's richest man Lakshmi Mittal
13,Save the amazon
120,Google Market value
189,to lift 1 billion people out of extreme poverty
253,to lift 1.3 bn people out of extreme poverty
104,Trident Total Cost
38,Alcohol Sales
11,Tobacco Sales
5,Illegal Drugs Market
54,"Total alcohol, tobacco & drugs market"
152,Earnings from income tax
103,Mortgage Lending 2007
175,Goverment's Overdraft
200,bailout: cash bailout
44,per year interest on lending
7497,IMF Est Cost of Financial Crisis
70,Private African Debt
91,Official African Debt
