"Tweet text","Timestamp","Most important word","Polarity","Subjectivity","Retweets","ora","data","important tweets"
"Protesters hit by car during #OccupyOakland #GeneralStrike press for driver's arrest http://t.co/TBMo4fXI #OWS #OO",1321084860,"driver","0.0","0.0",11,"03:01","Sat, November 12, 2011",
"#OccupyDenver nut jobs storm BlogCon 2011 at least 1 arrest http://t.co/Jydq474d #tcot #tlot #sgp #hhrs #ocra #ows #owsfail",1321084860,"blogcon","-0.5","1.0",11,"03:01",,
"@Keyserxsoze @an0nyc @kennethlipp @Korgasm_ @SabzBrach. young whippersnappers and their tents, back in our day u got arrested for tents #ows",1321085700,"whippersnappers","0.05","0.2",5,"03:15",,
"People are camping out in LA for the premiere of the new Twilight movie on Monday night. I bet THEY don't get arrested. #OWS",1321086300,"premiere","0.14","0.45",46,"03:25",,
"Including today's 28 #occupyarrests global total now at 3586 @occupywallst @OccupyWallStNYC @MachahirNews @maddow @occupyoakland #ows",1321089420,"occupyarrests","0.0","0.38",8,"04:17",,
"Figuring out what is SAFE sidewalk to avoid arrest. In America. #OWS #OccupyAsheville #avlnews",1321090440,"avlnews","0.5","0.5",3,"04:34",,
"20+ people in Asheville risking arrest at vigil for vets #OccupyAsheville #ows",1321090440,"asheville","0.0","0.0",22,"04:34",,
"Police at #occupyAsheville waited until AFTER midnight so they wouldn't be arresting on VETERAN'S DAY! First 2 arrested are vets. #ows",1321092240,"waited","0.25","0.33",36,"05:04",,
"Asheville police waits until midnight to arrest Marines at veterans day vigil, Cowards! #OccupyAsheville #OccupyNC #ows",1321092540,"asheville","0.0","0.0",3,"05:09",,
"#Asheville police wait 1 minute after midnt 2 arrest veterans - doesnt take the stink off what they just did. #OccupyAsheville #OWS #avlnews",1321092600,"midnt","0.0","0.0",3,"05:10",,
"☯ They can arrest us, but they canNOT arrest an idea!! #OccupyStLouis #Quote #ows #wisdom #OccupyTogether #Occupy",1321092600,"arrest","0.0","0.0",2,"05:10",,
"#OccupyCentralPark NEEDS people, #UnityInNumbers. NYPD waiting till 1AM to evict and arrest! #occupycentralpark #OWS Please ReTweet!",1321093680,"occupycentralpark","0.0","0.0",71,"05:28",,
"NYPD about to make some arrests #OWS #OccupyCentralPark People who were livestreaming said they're leaving: http://t.co/4TLft1C0",1321096080,"occupycentralpark","0.0","0.0",10,"06:08",,
"Groups that doesn't want to be arrested is being escorted out of Central Park by NYPD. #OWS",1321096320,"escorted","0.0","0.25",3,"06:12",,
"#OccupySTL police give occupiers warning, all in the area will be arrested if they dont vacate #ows livestream: http://t.co/48YL479e",1321097160,"vacate","0.0","0.0",3,"06:26",,
".@MayorSlay We are the 99%. You can not arrest us all. Our voice will be heard no matter what you do #occupySTL #ows #solidarity",1321097220,"occupystl","0.0","0.0",2,"06:27",,
"arrests going on at #occupystluis live feeds: http://t.co/ZS6RrSlT #ows #occupytogether",1321097940,"occupystluis","0.14","0.5",15,"06:39",,
"Stay peaceful and non-violent, @stlOccup #occupystl #stlOccupy Can you give us more details or videos of the arrests? #ows #occupyBoston",1321098120,"stloccupy","0.38","0.5",5,"06:42",,
"#OccupySTL protesters are now using 'human mic', asking police if they will be arrested for removing bikes from the park.. #OWS #OO",1321099200,"bikes","0.0","0.0",10,"07:00",,
"@STLOccupy reports 24 arrests at #OccupySTL. Bucket being passed around for bail money, they say. #OWS #OO",1321099920,"bucket","0.0","0.0",2,"07:12",,
"Unconfirmed reports of 22 arrests at #occupyStLouis .... #ows #occupymn",1321099980,"occupystlouis","0.0","0.0",2,"07:13",,
"Dozens arrested at late-night police raid on Occupy St. Louis #STLOccupy #OWS http://t.co/NfK1OvQF",1321100280,"stloccupy","0.0","0.0",33,"07:18",,
"Police arrest EDL supporters 'to prevent breach of peace' - http://t.co/7b94vJHp #ows #occupylsx",1321113720,"edl","0.0","0.0",2,"11:02",,
"(2) .@JayZ being beaten/arrested by cops, sleeping on the ground is what gave slogan its value. Real Q: Why would you not share? #ows",1321113900,"slogan","0.06","0.33",3,"11:05",,
"Police use tear gas and arrests to break up #occupytunis http://t.co/d6dg7fLY #OWS",1321122960,"occupytunis","0.0","0.0",9,"13:36",,
"#OccupyAsheville releases video of Helen Roberts arrest (http://t.co/yej74mrX) #ows #PoliceState",1321123860,"helen","0.0","0.0",3,"13:51",,
"Twenty or so arrested, property destroyed, Plaza cleared - This morning @STLOccupy knows exactly where @MayorSlay stands #ows",1321123920,"twenty","0.0","0.0",10,"13:52",,
"CONFIRMED: Police make 27 arrests at #OccupySTL. Fed judge refuses to intervene, 10PM curfew enforced.. @CBS http://t.co/zjyBPooC #OWS #ostl",1321125000,"intervene","0.4","1.0",32,"14:10",,
"#OccupyMedia Cop at #OccupyDallas blatantly shoving a demonstrator off a 4 ft. ledge before arresting him http://t.co/nrwcMwmU #OWS",1321125300,"ledge","0.0","0.0",6,"14:15",,
"MT @TheOther99: Police make 27 arrests at #OccupySTL. Fed judge refuses to intervene, 10PM curfew enforced http://t.co/UNFMm04Z #OWS",1321125360,"intervene","0.0","0.0",8,"14:16",,
"Dozens arrested at late-night police raid on Occupy St. Louis http://t.co/tciFS8TJ #ows #p2 #tcot",1321126140,"louis","0.0","0.0",4,"14:29",,
"Scotland Yard arrest EDL members over alleged plot to attack Occupy London http://t.co/FmyVwxYT #ows #p2 #tcot",1321126620,"scotland","-0.1","0.1",5,"14:37",,
"#OccupyNS protesters plan next move after eviction: 12 people arrested http://t.co/6SvJv0UC via @MSNca #OWS #occupytoronto",1321126800,"occupyns","0.0","0.0",3,"14:40",,
"#OccupyDenver nut jobs storm BlogCon 2011 at least 1 arrest http://t.co/Jydq474d #tcot #tlot #sgp #hhrs #ocra #ows #owsfail",1321128060,"blogcon","-0.5","1.0",11,"15:01",,
"Including today's 42 #occupyarrests the total number of arrests is now at 2558 #ows #oo #ola #occupywallst #occupyoakland #occupycal",1321128240,"ola","0.0","0.75",4,"15:04",,
"Video of #OccupyNS protesters in #Halifax being forcibly evicted, arrested: http://t.co/NOO09Dbz #NSpoli #p2ca #OWS #cdnpoli #Occupy",1321129680,"nspoli","0.0","0.0",2,"15:28",,
"#cpusa meet many crdes arrested @ Occupy protests #OWS",1321132860,"crdes","0.5","0.5",2,"16:21",,
"#cpusa meet many crdes arrested @ Occupy protests #OWS",1321132860,"crdes","0.5","0.5",2,"16:21",,
"UPDATE: At least four #OWS protesters remained in #CentralPark after final Police warning at 1AM. Press removed, unable to confirm arrests..",1321132860,"centralpark","-0.33","0.83",9,"16:21",,
"Journalist Miles Howe covering #OccupyNS eviction was arrested y'day. Today he was re-arrested for entering a public park. #ows #cdnpoli",1321136400,"howe","0.02","0.12",14,"17:20",,
"Nearly 3,600 people have been arrested for Occupy Wall Street protests worldwide. ^@occupyarrests #ows",1321136460,"nearly","0.0","0.0",7,"17:21",,
"Journalist Miles Howe covering #OccupyNS eviction arrested y'day. Today he was re-arrested for entering a public park #ows #cdnpoli #Halifax",1321136700,"howe","0.02","0.12",6,"17:25",,
"Obstruction of What Justice? #OccupyNS Evicted on #RemembranceDay (report from arrestee Miles Howe): http://t.co/uVEEdxmM #NSpoli #ows",1321145520,"howe","0.0","0.0",4,"19:52",,
"27 #occupyarrests this morning at #occupystl after police attempt to wipe out occupation. Today's total: 27 #ows #oo #occupywallst",1321147500,"wipe","0.0","0.75",2,"20:25",,
"3 #occupyarrests at #occupyasheville this morning as police arrest veterans. Today's total: 30 #ows #oo #occupywallst http://t.co/rEq3Hjje",1321147560,"occupyasheville","0.0","0.75",16,"20:26",,
"14 #occupyarrests at #occupyhalifax CA this morning brings today's total arrests to 44 #oo #ows #occupycal http://t.co/rEq3Hjje",1321148040,"occupyhalifax","0.0","0.75",14,"20:34",,
"British Teabaggers arrested over threats to #OWS http://t.co/d1UtX7Ef",1321148340,"teabaggers","0.0","0.0",3,"20:39",,
"@JoonasD6 http://t.co/gU81MUMO NYPD receives JP Morgan donation,a sum of $4.6 million, mass arrest of protesters at #ows",1321149180,"receives","0.0","0.0",3,"20:53",,
"Why is @OaklandPoliceCA arresting journalists? Photo of @theprospect's @susie_c in cuffs: http://t.co/n3Lqbofp #ows #oo HT @xeni",1321151520,"ht","0.0","0.0",2,"21:32",,
"Question everyone should be asking. MT @digiphile Why is @OaklandPoliceCA arresting journalists? http://t.co/3w2nvL3M #ows #oo",1321151640,"arresting","0.0","0.0",11,"21:34",,
"172 arrested as far-right #EDL gathers in Whitehall to march on #OccupyLondon protesters [independent] http://t.co/zUOSD8gX #OccupyLSX #OWS",1321152000,"whitehall","0.0","0.12",2,"21:40",,
"@WLLegal @digiphile | @oaklandpoliceca have so far demanded media leave, tear gassed, shot, and arrested media in #OccupyOakland #OWS",1321152060,"demanded","0.1","1.0",2,"21:41",,
"Today is day 57 of the Occupation. There have been 3586 arrests so far @OccupySF #occupysf #ows #oo #occupypdx #occupydenver #westcoastsiege",1321157820,"westcoastsiege","0.1","1.0",6,"23:17",,
"Close to 4,000 peaceful protesters arrested nationwide #ows #OccupyDenver #OccupyOakland #occupyboston 0 arrested @ Penn State violent riot!",1321158420,"arrested","0.05","0.8",3,"23:27",,
"Police are arresting a young man who was loading and smoking some sort of pipe then attacked a protester, then started swinging at NYPD #OWS",1321161960,"pipe","0.1","0.4",4,"00:26","Sun, November 13, 2011",
"#OccupyDenver live feed up and down as Officers like #95022 threaten pepper spray, arrests underway. http://t.co/fe9EejvM #OWS #p2 NOW",1321163160,"underway","0.01","0.39",6,"00:46",,
"Penn State students violently protest firing of coach =no arrests. Occupiers peacefully protest=Hundreds of arrests #ows",1321163520,"arrests","0.0","0.0",5,"00:52",,
"#OccupyDenver some getting arrested for crossing the street. livestream: http://t.co/48YL479e #ows",1321164420,"crossing","0.0","0.0",8,"01:07",,
"1 person just arrested for crossing the street near #OccupyDenver. Tense situation LIVE: http://t.co/dgN25VYj #ows",1321164420,"crossing","-0.03","0.47",2,"01:07",,
"Police may arrest #ows campers but they can not arrest their vision",1321165080,"arrest","0.0","0.0",3,"01:18",,
"@Occupy_UNH @OccupiedTruth @OccupyNH #occupyworcester will peacefully retake the #worcestercommons. 22 were arrested there last week. #Ows",1321166400,"worcestercommons","-0.03","0.1",3,"01:40",,
"Confirmed: 3 new arrests this afternoon in Halifax #OccupyNS @OccupyArrests http://t.co/m3xF1gZL #OWS",1321167720,"halifax","0.27","0.73",2,"02:02",,
"DPD riot gear arresting peaceful marchers @ #occupydenver 16th/17th st #ows - #globalrevolution live on http://t.co/N9blgkxj",1321169400,"dpd","0.19","0.5",2,"02:30",,
"NOW police violence, pepper spray, tear gas, rubber bullets and 4 reported #occupyarrests at #occupydenver raid. Today's total: 69 #ows #oo",1321169460,"rubber","0.0","0.75",75,"02:31",,
"3 more #occupyarrests at #occupyhalifax this afternoon. Today's total: 72 #ows #oo #occupydenver #occupyportland #occupyslc #Occupystl",1321169580,"occupyhalifax","0.25","0.62",14,"02:33",,
"16th street mall is a PEDESTRIAN MALL-arresting people 4 walking down a PEDESTRIAN MALL at 7:35pm Sat. night #policestate #occupydenver #ows",1321169700,"pedestrian","-0.11","0.28",21,"02:35",,
"@OccupyArrests 73 people arrested JUST TODAY?!?!?! #OWS #OccupyArrests",1321170120,"occupyarrests","0.0","0.0",7,"02:42",,
"Watch livestream from #OWS Denver--arrests, beatings a few minutes ago, now they are getting rid of undercover cop. http://t.co/BFbZBL3o",1321170780,"undercover","0.0","0.5",45,"02:53",,
"DPD attacks @OccupyDenver. Rubber bullets, batons and pepper spray deployed, multiple arrests made #STREETMEDIC #OWS #OccupyDenver",1321171860,"streetmedic","0.0","0.0",6,"03:11",,
"Is that true, no arrests made at Penn State riots?! But it's OK to beat peaceful Occupy protestors! #ows #occupyportland #occupydenver",1321173420,"riots","0.37","0.55",10,"03:37",,
"CONFIRMED: Denver police arrest at least 16 #OccupyDenver protesters.. http://t.co/c3sK2vit http://t.co/QMShF0Wo via @9newsdotcom #OO #OWS",1321174020,"confirmed","-0.05","1.0",13,"03:47",,
"#OWS I just saw a police action at Nassau/Liberty Streets, one block from Zucotti Park. A few marchers were arrested.Cops filming @garonsen",1321174200,"filming","0.0","0.5",5,"03:50",,
"@AnonNCarolina2 3 Veterans arrested for trespassing after curfew last night at #occupyasheville #occupyNC #OWS",1321175160,"occupync","-0.03","0.1",4,"04:06",,
"Reminder, civil disobedience means you're willing to be arrested and take the consequences for disobeying unjust laws. #ows #occupyportland",1321175400,"disobeying","0.25","0.75",9,"04:10",,
"CONFIRMED: At least 5 arrests of #OWS protesters, including a medic, this evening during silent march. More details coming.. #OccupyWallSt",1321175820,"medic","0.1","0.65",60,"04:17",,
"BREAKING: four #anons and a medic arrested on march at #OWS #anonymous",1321176000,"anons","0.0","0.0",3,"04:20",,
"You know what's dumb? Getting arrested on purpose and then whining about 'police brutality.' #OccupyWallStreet #OWS #p2",1321176540,"whining","-0.38","0.5",16,"04:29",,
"MT @TheOther99: CONFIRMED: At least 5 arrests of #OWS protesters, including a medic, this evening during silent march #OccupyWallSt",1321176540,"medic","-0.03","0.7",10,"04:29",,
"4 men, 1 woman arrested at earlier march from #LibertyPlaza to Wall St. about at 10:15, by Fred Reserve. #ows #OccupyArrests",1321176900,"fred","0.0","0.5",2,"04:35",,
"Including today's 72 #occupyarrests the global total is now at 3658 @MotherJones @thenation @allisonkilkenny @blogdiva @OccupyWallStNYC #ows",1321176960,"occupyarrests","0.0","0.38",13,"04:36",,
"BREAKING PIC: #OccupyAlbany protesters being arrested NOW.. http://t.co/A69dnqNM pic via @BrendanKelly86 #OO #OWS",1321177260,"pic","0.0","0.0",27,"04:41",,
"Total #OWS arrests worldwide now at 3,658, according to @OccupyArrests' running tally. (Now you tweet back: 'bankers zero'.)",1321177380,"tally","0.0","0.38",112,"04:43",,
"Hey #OccupyOakland! Get out of Oscar Grant Plaza already so OPD can get back to arresting black teens for pot possession! #priorities #ows",1321178100,"teens","-0.08","0.22",7,"04:55",,
"This is seriously concerning what's going on tonight. Police in Albany and Denver clearing #ows encampments and arresting protesters...",1321178400,"albany","-0.1","1.0",3,"05:00",,
"#ows M @GregMitch Video of violent arrest in San Diego on Saturday morning, cop uses choke hold on man, crowd screaming http://t.co/Km6Mpk2M",1321184340,"choke","-0.8","1.0",2,"06:39",,
"Live: Police preparing to raid #occupydenver sealing off streets and preparing tear gas No #occupyarrests yet #oo #ows #Occupycal",1321185480,"preparing","0.14","0.5",5,"06:58",,
"@occupychicago Marine arrested at protest addresses court #ows http://t.co/0XLE1vDU",1321186680,"addresses","0.0","0.0",15,"07:18",,
"Total #OWS arrests worldwide now at 3,658, according to @OccupyArrests running tally. Arrested bankers: ZERO! #OWS #Occupytulsa",1321186680,"tally","0.0","0.75",16,"07:18",,
"If #OWS mutants thought they had a hard time finding a job before, just wait till they try in the future with these arrests on their record.",1321186980,"mutants","-0.15","0.33",7,"07:23",,
"#OccupyDenver nut jobs storm BlogCon 2011 at least 1 arrest http://t.co/Jydq474d #tcot #tlot #sgp #hhrs #ocra #ows #owsfail",1321187460,"blogcon","-0.5","1.0",11,"07:31",,
"#Oakland officials again tell #OccupyOakland protesters to leave encampment, threaten arrests http://t.co/bNkTpdwg #oo #OWS",1321187760,"threaten","0.0","0.0",2,"07:36",,
"24 arrested at #OccupyAlbany. NY State Troopers tell reporters to leave or face arrest. http://t.co/iITbCpQ7 #OccupyWallStreet #ows #Sep17",1321187940,"troopers","0.0","0.0",4,"07:39",,
"#OccupyPdx is having quite the party http://t.co/VOWafN7h Tough to arrest 10,000 people #OccupyDenver #OWS #p2 #tcot #teaparty #topprog",1321189500,"tough","-0.39","0.83",24,"08:05",,
"You can't arrest a downtown dance party of 5-6,000! #OccupyPortland #OWS @sabzbrach",1321189620,"dance","0.0","0.0",21,"08:07",,
"Police arrest 17 at #OccupyDenver. Broadway shut down between Colfax and 14th avenues. http://t.co/pW0HMP6L #OccupyWallStreet #ows #Sep17",1321189680,"colfax","-0.11","0.28",3,"08:08",,
"Violent' Protest at Penn State over firing of Joe Paterno - 0 arrests. PEACEFUL gathering to occupy UC Berkeley - 29 arrested #FOK #OWS #p2",1321190100,"paterno","0.25","0.5",2,"08:15",,
"#OWS Occupy Portland first arrest(s) as officer injured, more PPD showing up in riot gear, in formation for first time",1321196160,"ppd","0.33","0.39",2,"09:56",,
"via livestream #OccupyPortland Police warn they will arrest protesters who block the street. So Occupiers moving into the street. #ows",1321196700,"warn","0.0","0.0",2,"10:05",,
"#OWS Note how real reporters leave when police tell them to? That's why they don't get arrested. They're not above the law.",1321197960,"note","0.03","0.21",2,"10:26",,
"#occupyPDX getting local coverage it's positive too! #occupyportland #ows it's almost 4 am! 4,000 only 1 arrest. http://t.co/vDTDpVuc",1321203180,"positive","0.08","0.52",3,"11:53",,
"19 #occupyarrests at #occupyslc this morning in police raid. Today's total now at 20. #ows #oo #ocuppywallst http://t.co/9pttqvC2",1321224600,"ocuppywallst","0.0","0.75",10,"17:50",,
"24 #occupyarrests this morning at #occupyalbany Today's total 44 #ows #oo #occupydenver #occupycal #occupywallst http://t.co/x7HGs2ez",1321225140,"occupyalbany","0.0","0.75",8,"17:59",,
"Cumulative #occupyarrests number now online! Organized by location and time. @blogdiva @allisonkilkenny #oo #ows http://t.co/Q0zBVBoy",1321225260,"cumulative","0.0","0.0",6,"18:01",,
"Cumulative #occupyarrests number now online. Organized by location and time http://t.co/ig5B6yGO (via @OccupyArrests) #OWS",1321225320,"cumulative","0.0","0.0",13,"18:02",,
"Spreadsheet now allows you to track cumulative number of arrests at occupations (via @OccupyArrests) #OWS http://t.co/iDgYqgsP",1321225440,"spreadsheet","0.0","0.0",11,"18:04",,
"Cumulative list of #occupyarrests (via @OccupyArrests) Very useful tool http://t.co/JSTMtzHD #ows #oo #occupypdx #occupytucson",1321225620,"cumulative","0.0","0.0",3,"18:07",,
"In the US it's now 3613 #occupyarrests vs 0 #banksters arrested. Check the very useful tool from @OccupyArrests http://t.co/oTbiXK0j #ows",1321225920,"tool","0.0","0.0",2,"18:12",,
