Word,Occurrences,Frequency,Rank,Album
you,42,3.5,1,Kill 'Em All
your,38,3.2,2,Kill 'Em All
another,26,2.2,3,Kill 'Em All
metal,18,1.5,4,Kill 'Em All
our,17,1.4,5,Kill 'Em All
what,14,1.2,6,Kill 'Em All
way,12,1,7,Kill 'Em All
come,12,1,7,Kill 'Em All
take,12,1,7,Kill 'Em All
destroy,12,1,7,Kill 'Em All
seek,12,1,7,Kill 'Em All
searching,12,1,7,Kill 'Em All
through,11,0.9,8,Kill 'Em All
dont,11,0.9,8,Kill 'Em All
hit,10,0.8,9,Kill 'Em All
dying,9,0.8,9,Kill 'Em All
lights,9,0.8,9,Kill 'Em All
running,9,0.8,9,Kill 'Em All
now,8,0.7,10,Kill 'Em All
remorse,8,0.7,10,Kill 'Em All
militia,8,0.7,10,Kill 'Em All
like,8,0.7,10,Kill 'Em All
it,8,0.7,10,Kill 'Em All
never,8,0.7,10,Kill 'Em All
fire,7,0.6,11,Kill 'Em All
death,7,0.6,11,Kill 'Em All
leather,7,0.6,11,Kill 'Em All
jump,7,0.6,11,Kill 'Em All
life,7,0.6,11,Kill 'Em All
land,6,0.5,12,Kill 'Em All
sorrow,6,0.5,12,Kill 'Em All
horsemen,6,0.5,12,Kill 'Em All
ride,6,0.5,12,Kill 'Em All
deaths,6,0.5,12,Kill 'Em All
hiding,6,0.5,12,Kill 'Em All
meant,6,0.5,12,Kill 'Em All
breath,6,0.5,12,Kill 'Em All
night,6,0.5,12,Kill 'Em All
on,6,0.5,12,Kill 'Em All
care,6,0.5,12,Kill 'Em All
cant,14,2.1,1,Ride the Lightning
let,14,2.1,1,Ride the Lightning
me,8,1.2,2,Ride the Lightning
own,8,1.2,2,Ride the Lightning
now,7,1,3,Ride the Lightning
what,7,1,3,Ride the Lightning
born,6,0.9,4,Ride the Lightning
just,6,0.9,4,Ride the Lightning
done,6,0.9,4,Ride the Lightning
life,6,0.9,4,Ride the Lightning
time,6,0.9,4,Ride the Lightning
here,6,0.9,4,Ride the Lightning
written,6,0.9,4,Ride the Lightning
first,5,0.7,5,Ride the Lightning
fight,5,0.7,5,Ride the Lightning
your,5,0.7,5,Ride the Lightning
death,5,0.7,5,Ride the Lightning
hear,5,0.7,5,Ride the Lightning
take,5,0.7,5,Ride the Lightning
live,5,0.7,5,Ride the Lightning
kill,4,0.6,6,Ride the Lightning
say,4,0.6,6,Ride the Lightning
you,4,0.6,6,Ride the Lightning
through,4,0.6,6,Ride the Lightning
move,4,0.6,6,Ride the Lightning
see,4,0.6,6,Ride the Lightning
see,4,0.6,6,Ride the Lightning
free,4,0.6,6,Ride the Lightning
die,4,0.6,6,Ride the Lightning
whom,4,0.6,6,Ride the Lightning
bell,4,0.6,6,Ride the Lightning
shall,4,0.6,6,Ride the Lightning
fire,4,0.6,6,Ride the Lightning
death,4,0.6,6,Ride the Lightning
dont,4,0.6,6,Ride the Lightning
live,4,0.6,6,Ride the Lightning
tolls,4,0.6,6,Ride the Lightning
out,3,0.4,7,Ride the Lightning
ice,3,0.4,7,Ride the Lightning
lost,3,0.4,7,Ride the Lightning
you,54,4.8,1,Master of Puppets
your,34,3,2,Master of Puppets
master,21,1.9,3,Master of Puppets
just,17,1.5,4,Master of Puppets
time,13,1.2,5,Master of Puppets
kill,12,1.1,6,Master of Puppets
back,12,1.1,6,Master of Puppets
see,10,0.9,7,Master of Puppets
life,10,0.9,7,Master of Puppets
battery,10,0.9,7,Master of Puppets
cannot,10,0.9,7,Master of Puppets
front,9,0.8,8,Master of Puppets
through,7,0.6,9,Master of Puppets
name,7,0.6,9,Master of Puppets
say,7,0.6,9,Master of Puppets
now,7,0.6,9,Master of Puppets
hear,7,0.6,9,Master of Puppets
our,6,0.5,10,Master of Puppets
scream,6,0.5,10,Master of Puppets
call,6,0.5,10,Master of Puppets
cause,6,0.5,10,Master of Puppets
never,6,0.5,10,Master of Puppets
damage,6,0.5,10,Master of Puppets
found,6,0.5,10,Master of Puppets
say,6,0.5,10,Master of Puppets
see,6,0.5,10,Master of Puppets
me,6,0.5,10,Master of Puppets
faster,6,0.5,10,Master of Puppets
send,6,0.5,10,Master of Puppets
obey,6,0.5,10,Master of Puppets
smashing,6,0.5,10,Master of Puppets
fear,5,0.4,11,Master of Puppets
dying,5,0.4,11,Master of Puppets
well,5,0.4,11,Master of Puppets
cant,5,0.4,11,Master of Puppets
what,5,0.4,11,Master of Puppets
leave,5,0.4,11,Master of Puppets
get,5,0.4,11,Master of Puppets
make,5,0.4,11,Master of Puppets
sanitarium,5,0.4,11,Master of Puppets
you,47,3.5,1,And Justice for All
your,30,2.3,2,And Justice for All
me,23,1.7,4,And Justice for All
what,22,1.7,4,And Justice for All
shortest,22,1.7,4,And Justice for All
straw,16,1.2,5,And Justice for All
pulled,16,1.2,5,And Justice for All
justice,15,1.1,6,And Justice for All
cant,12,0.9,7,And Justice for All
hear,12,0.9,7,And Justice for All
dear,10,0.8,8,And Justice for All
freedom,9,0.7,9,And Justice for All
them,8,0.6,10,And Justice for All
cannot,8,0.6,10,And Justice for All
never,8,0.6,10,And Justice for All
just,8,0.6,10,And Justice for All
life,8,0.6,10,And Justice for All
see,8,0.6,10,And Justice for All
say,7,0.5,11,And Justice for All
dead,7,0.5,11,And Justice for All
sorrow,7,0.5,11,And Justice for All
fear,7,0.5,11,And Justice for All
harvester,7,0.5,11,And Justice for All
done,6,0.5,11,And Justice for All
taken,6,0.5,11,And Justice for All
straw,6,0.5,11,And Justice for All
hell,6,0.5,11,And Justice for All
it,6,0.5,11,And Justice for All
whipping,6,0.5,11,And Justice for All
begin,6,0.5,11,And Justice for All
see,6,0.5,11,And Justice for All
mother,6,0.5,11,And Justice for All
dance,6,0.5,11,And Justice for All
our,6,0.5,11,And Justice for All
world,6,0.5,11,And Justice for All
believe,6,0.5,11,And Justice for All
find,5,0.4,12,And Justice for All
father,5,0.4,12,And Justice for All
truth,5,0.4,12,And Justice for All
please,5,0.4,12,And Justice for All
you,84,5.1,1,Black Album
your,62,3.8,2,Black Album
i,54,3.3,3,Black Album
what,40,2.4,4,Black Album
never,39,2.4,4,Black Album
struggle,13,0.8,6,Black Album
within,13,0.8,6,Black Album
through,12,0.7,7,Black Album
don't,11,0.7,7,Black Album
back,10,0.6,8,Black Album
take,10,0.6,8,Black Album
know,9,0.5,9,Black Album
hear,9,0.5,9,Black Album
me,9,0.5,9,Black Album
while,8,0.5,9,Black Album
cared,8,0.5,9,Black Album
are,8,0.5,9,Black Album
mind,8,0.5,9,Black Album
anywhere,8,0.5,9,Black Album
find,8,0.5,9,Black Album
see,8,0.5,9,Black Album
off,8,0.5,9,Black Album
feel,8,0.5,9,Black Album
much,7,0.4,10,Black Album
nothing,7,0.4,10,Black Album
else,7,0.4,10,Black Album
just,7,0.4,10,Black Album
matters,7,0.4,10,Black Album
faith,7,0.4,10,Black Album
never,7,0.4,10,Black Album
it,7,0.4,10,Black Album
misery,7,0.4,10,Black Album
eyes,7,0.4,10,Black Album
do,7,0.4,10,Black Album
true,6,0.4,10,Black Album
pride,6,0.4,10,Black Album
ever,6,0.4,10,Black Album
it,6,0.4,10,Black Album
must,6,0.4,10,Black Album
sad,6,0.4,10,Black Album
you,60,3.8,1,Load
me,45,2.8,2,Load
your,40,2.5,3,Load
aint,19,1.2,4,Load
now,17,1.1,5,Load
take,15,0.9,6,Load
down,14,0.9,6,Load
lost,13,0.8,7,Load
way,13,0.8,7,Load
never,13,0.8,7,Load
just,13,0.8,7,Load
cant,12,0.8,7,Load
let,11,0.7,8,Load
things,11,0.7,8,Load
away,11,0.7,8,Load
gonna,11,0.7,8,Load
day,11,0.7,8,Load
yeah,10,0.6,9,Load
wish,10,0.6,9,Load
dont,10,0.6,9,Load
still,10,0.6,9,Load
hear,10,0.6,9,Load
open,10,0.6,9,Load
what,10,0.6,9,Load
heart,9,0.6,9,Load
said,9,0.6,9,Load
make,9,0.6,9,Load
hold,9,0.6,9,Load
it,9,0.6,9,Load
want,9,0.6,9,Load
again,8,0.5,10,Load
blood,8,0.5,10,Load
come,8,0.5,10,Load
waste,8,0.5,10,Load
time,8,0.5,10,Load
cure,8,0.5,10,Load
wash,7,0.4,11,Load
poor,7,0.4,11,Load
mama,7,0.4,11,Load
must,7,0.4,11,Load
you,126,5.3,1,ReLoad
me,49,2.1,2,ReLoad
what,48,2,3,ReLoad
your,34,1.4,4,ReLoad
yeah,31,1.3,5,ReLoad
better,29,1.2,6,ReLoad
see,25,1.1,7,ReLoad
it,22,0.9,8,ReLoad
see,19,0.8,9,ReLoad
come,18,0.8,9,ReLoad
look,16,0.7,10,ReLoad
just,16,0.7,10,ReLoad
hey,15,0.6,11,ReLoad
let,15,0.6,11,ReLoad
cant,14,0.6,11,ReLoad
now,14,0.6,11,ReLoad
here,13,0.5,12,ReLoad
spit,13,0.5,12,ReLoad
dont,13,0.5,12,ReLoad
eyes,13,0.5,12,ReLoad
again,12,0.5,12,ReLoad
sun,12,0.5,12,ReLoad
gimme,12,0.5,12,ReLoad
turn,11,0.5,12,ReLoad
make,11,0.5,12,ReLoad
gone,11,0.5,12,ReLoad
fire,10,0.4,13,ReLoad
cause,10,0.4,13,ReLoad
tell,10,0.4,13,ReLoad
take,10,0.4,13,ReLoad
might,10,0.4,13,ReLoad
fall,9,0.4,13,ReLoad
yeah,9,0.4,13,ReLoad
done,9,0.4,13,ReLoad
heal,9,0.4,13,ReLoad
mirror,9,0.4,13,ReLoad
never,9,0.4,13,ReLoad
feel,9,0.4,13,ReLoad
too,9,0.4,13,ReLoad
thats,9,0.4,13,ReLoad
you,57,3.9,1,St Anger
tick,26,1.8,2,St Anger
get,22,1.5,3,St Anger
within,20,1.4,4,St Anger
these,20,1.4,4,St Anger
hands,19,1.3,5,St Anger
anger,19,1.3,5,St Anger
sweet,18,1.2,6,St Anger
comes,16,1.1,7,St Anger
let,15,1,8,St Anger
your,15,1,8,St Anger
its,15,1,8,St Anger
round,14,0.9,9,St Anger
how,14,0.9,9,St Anger
what,14,0.9,9,St Anger
see,13,0.9,9,St Anger
never,12,0.8,10,St Anger
now,12,0.8,10,St Anger
world,11,0.7,11,St Anger
neck,11,0.7,11,St Anger
saint,11,0.7,11,St Anger
back,10,0.7,11,St Anger
hate,10,0.7,11,St Anger
head,9,0.6,12,St Anger
kill,9,0.6,12,St Anger
head,9,0.6,12,St Anger
know,8,0.5,13,St Anger
flush,8,0.5,13,St Anger
me,8,0.5,13,St Anger
alive,8,0.5,13,St Anger
out,8,0.5,13,St Anger
fuck,8,0.5,13,St Anger
more,8,0.5,13,St Anger
myself,7,0.5,13,St Anger
wont,7,0.5,13,St Anger
voice,7,0.5,13,St Anger
back,7,0.5,13,St Anger
right,7,0.5,13,St Anger
world,7,0.5,13,St Anger
then,7,0.5,13,St Anger
you,59,4.3,1,Death Magnetic
your,50,3.6,2,Death Magnetic
like,21,1.5,3,Death Magnetic
down,17,1.2,4,Death Magnetic
