Name,City,Spire
Burj Khalifa,Dubai,828
Taipei 101,Taipei,508
Shanghai World Financial Center,Shanghai SH,492
International Commerce Center,Hong Kong HK,484
Petronas Towers,Kuala Lumpur,452
Nanjing Greenland Financial Complex,Nanjing JS,450
Willis Tower,Chicago IL,442
Guangzhou International Finance Center,Guangzhou GD,437
Jin Mao Tower,Shanghai SH,420
Al Hamra Tower,Kuwait City,412
Two International Finance Centre,Hong Kong HK,406
CITIC Plaza,Guangzhou GD,391
Shun Hing Square,Shenzhen GD,384
Empire State Building,New York City NY,381
